,index,description,species,cleaned_text
63,67,"The black-naped oriole (Oriolus chinensis) is a bird from the oriole family. It has yellow-and-black plumage and is found in many parts of Asia. 1 It is one of the most common bird species in Singapore. 2 Description The black-naped oriole has a bright yellow mantle, with some black on it wings and tail, and a red bill. It has a distinctive ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'bird', 'oriole', 'family', 'yellowandblack', 'plumage', 'found', 'many', 'parts', 'asia', '1', 'one', 'common', 'bird', 'species', 'singapore', '2', 'description', 'blacknaped', 'oriole', 'bright', 'yellow', 'mantle', 'black', 'wings', 'tail', 'red', 'bill', 'distinctive']"
64,68," This species offers a striking recent demonstration of birdsâ€™ mobility and adaptability. Little Egrets used to be rare visitors to Britain and until 1991 records were considered by the British Birds Rarities Committee. This was changed by an influx in 1989, starting in July, amounting toÂ ...",Little Egret,"['species', 'offers', 'striking', 'recent', 'demonstration', 'birds', 'mobility', 'adaptability', 'little', 'egrets', 'used', 'rare', 'visitors', 'britain', '1991', 'records', 'considered', 'british', 'birds', 'rarities', 'committee', 'changed', 'influx', '1989', 'starting', 'july', 'amounting']"
65,69,21 Feb 2020 ï¿½ common names for the 'crested' Acridotheres mynas (Feare & Craig 1998). ... species in this group (IOC 2012). DNA analysis of Acridotheres showsï¿½...,Javan Myna,"['21', 'feb', '2020', 'common', 'names', 'crested', 'acridotheres', 'mynas', 'feare', 'craig', '1998', 'species', 'group', 'ioc', '2012', 'dna', 'analysis', 'acridotheres', 'shows']"
66,70,"July 13, 2023 - The Little Egrets, Egretta garzetta, is a small white heron. It is the Old World counterpart to the very similar New World Snowy Egret.",Little Egret,"['july', '13', '2023', 'little', 'egrets', 'egretta', 'garzetta', 'small', 'white', 'heron', 'old', 'world', 'counterpart', 'similar', 'new', 'world', 'snowy', 'egret']"
67,71,"Sep 7, 2020 Â·  The number of a rare bird that lives in a protected part of Sharjah has increased from 125 to 131. Known as the Arabian collared kingfisher, the bird inhabits the Alqurm area of Kalba on the east coast. Kingfishers are found in many regions. But the subspecies kalbaensis is found only in Kalba and a handful of sites in Oman. ",Collared Kingfisher,"['sep', '7', '2020', 'number', 'rare', 'bird', 'lives', 'protected', 'part', 'sharjah', 'increased', '125', '131', 'known', 'arabian', 'collared', 'kingfisher', 'bird', 'inhabits', 'alqurm', 'area', 'kalba', 'east', 'coast', 'kingfishers', 'found', 'many', 'regions', 'subspecies', 'kalbaensis', 'found', 'kalba', 'handful', 'sites', 'oman']"
68,72,"4 Apr 2021 ï¿½ It's a Javan Myna. Jungle Myna has a dark bill base while Crested has a paler, horn coloured bill, brighter orange-yellow eyes and plumage isï¿½...",Javan Myna,"['4', 'apr', '2021', 'javan', 'myna', 'jungle', 'myna', 'dark', 'bill', 'base', 'crested', 'paler', 'horn', 'coloured', 'bill', 'brighter', 'orangeyellow', 'eyes', 'plumage']"
69,73,"This photo was recorded in the south of Iran
Iran - hormozgan / 2023-02-12",Black-naped Oriole,"['photo', 'recorded', 'south', 'iran', 'iran', 'hormozgan', '20230212']"
70,74,2 Aug 2020 ï¿½ The Singapore Bird Group says the Javan myna is the most common ... Content is loading... Advertisement. Expand to read the full story.,Javan Myna,"['2', 'aug', '2020', 'singapore', 'bird', 'group', 'says', 'javan', 'myna', 'common', 'content', 'loading', 'advertisement', 'expand', 'read', 'full', 'story']"
71,75,"In their first year, male orchard orioles look like females, sporting yellow-green feathers. Sometime that fall, they develop a black mask. Learn how to attract orioles to your backyard. Courtesy Kelly Schmitz. Juvenile orchard orioles look like the bird (above) for the next 12 months. In the fall of their second year, they molt their feathers ... ",Black-naped Oriole,"['first', 'year', 'male', 'orchard', 'orioles', 'look', 'like', 'females', 'sporting', 'yellowgreen', 'feathers', 'sometime', 'fall', 'develop', 'black', 'mask', 'learn', 'attract', 'orioles', 'backyard', 'courtesy', 'kelly', 'schmitz', 'juvenile', 'orchard', 'orioles', 'look', 'like', 'bird', 'next', '12', 'months', 'fall', 'second', 'year', 'molt', 'feathers']"
72,77,"Published: August 22, 2022 Views: 7K",Little Egret,"['published', 'august', '22', '2022', 'views', '7k']"
73,78," Basic facts about Little Egret: lifespan, distribution and habitat map, lifestyle and social behavior, mating habits, diet and nutrition, population size and status.",Little Egret,"['basic', 'facts', 'little', 'egret', 'lifespan', 'distribution', 'habitat', 'map', 'lifestyle', 'social', 'behavior', 'mating', 'habits', 'diet', 'nutrition', 'population', 'size', 'status']"
74,79,"A large coastal kingfisher with a gleaming white head, a thin black line behind the eye, and a blue-green back. Juvenile duller, with buff on crown and underside. Found singly or in pairs in mangroves, on beaches, and along rocky shorelines, where it often perches on exposed rocks or in trees bordering coast. Clean white crown and narrow (not wide) black strip behind eye distinguish it from all forms of the smaller Collared Kingfisher. Vocal, giving harsh calls: a â€œchoo-chewâ€ descending on the second note and a rapid, agitated â€œkip-kip-kip-kip-kip.â€",Collared Kingfisher,"['large', 'coastal', 'kingfisher', 'gleaming', 'white', 'head', 'thin', 'black', 'line', 'behind', 'eye', 'bluegreen', 'back', 'juvenile', 'duller', 'buff', 'crown', 'underside', 'found', 'singly', 'pairs', 'mangroves', 'beaches', 'along', 'rocky', 'shorelines', 'often', 'perches', 'exposed', 'rocks', 'trees', 'bordering', 'coast', 'clean', 'white', 'crown', 'narrow', 'wide', 'black', 'strip', 'behind', 'eye', 'distinguish', 'forms', 'smaller', 'collared', 'kingfisher', 'vocal', 'giving', 'harsh', 'calls', 'choochew', 'descending', 'second', 'note', 'rapid', 'agitated', 'kipkipkipkipkip']"
75,80,"Dec 31, 2021 Â·  The ringed kingfisher is the largest Kingfisher species native to North America. This bird is not exceptionally tall, but it can reach a length of 16 inches and a wingspan of 2 feet or more. Also known as the collared kingfisher, the ringed kingfisher is known for its bright white collar and dark, rust-colored breast. ",Collared Kingfisher,"['dec', '31', '2021', 'ringed', 'kingfisher', 'largest', 'kingfisher', 'species', 'native', 'north', 'america', 'bird', 'exceptionally', 'tall', 'reach', 'length', '16', 'inches', 'wingspan', '2', 'feet', 'also', 'known', 'collared', 'kingfisher', 'ringed', 'kingfisher', 'known', 'bright', 'white', 'collar', 'dark', 'rustcolored', 'breast']"
76,81,"As the name suggests, this tall, white heron is considerably larger than the similar little egret. Once a rare visitor to the UK, sightings have become more common over the last few decades, with several pairs now breeding.",Little Egret,"['name', 'suggests', 'tall', 'white', 'heron', 'considerably', 'larger', 'similar', 'little', 'egret', 'rare', 'visitor', 'uk', 'sightings', 'become', 'common', 'last', 'decades', 'several', 'pairs', 'breeding']"
77,82,The study confirmed that morphological differences between the three forms were due to varying degrees of allelic introgression from the endemic Javan Myna A.,Javan Myna,"['study', 'confirmed', 'morphological', 'differences', 'three', 'forms', 'due', 'varying', 'degrees', 'allelic', 'introgression', 'endemic', 'javan', 'myna']"
78,83,"May 1, 2007 - This is a rare find in Southern California if my ID, Egretta garzetta, is correct. I photographed this bird in San Diego Bay off the Silver Strand area of Coronado, CA, on 07-01-07 with my Canon 20D 400mm/f6.6L. Please confirm my ID or let me know if I'm wrong, thanks. A close-up head shot is...",Little Egret,"['may', '1', '2007', 'rare', 'find', 'southern', 'california', 'id', 'egretta', 'garzetta', 'correct', 'photographed', 'bird', 'san', 'diego', 'bay', 'silver', 'strand', 'area', 'coronado', 'ca', '070107', 'canon', '20d', '400mmf66l', 'please', 'confirm', 'id', 'let', 'know', 'im', 'wrong', 'thanks', 'closeup', 'head', 'shot']"
79,84,#BlackNapedOriole #BeautifulSoundAng bagong alaga ni kurtPlease subscribe po kayo sa channel nminFollow nyo din po ang Fb page namin: shiekurt vlogThank you ðŸ˜Š ,Black-naped Oriole,"['blacknapedoriole', 'beautifulsoundang', 'bagong', 'alaga', 'ni', 'kurtplease', 'subscribe', 'po', 'kayo', 'sa', 'channel', 'nminfollow', 'nyo', 'din', 'po', 'ang', 'fb', 'page', 'namin', 'shiekurt', 'vlogthank']"
80,85,"22 Jun 2014 ï¿½ Description: The Javan Myna (Acridotheres javanicus), also known as the White-Vented Myna, is a highly gregarious bird. It can be found almostï¿½...",Javan Myna,"['22', 'jun', '2014', 'description', 'javan', 'myna', 'acridotheres', 'javanicus', 'also', 'known', 'whitevented', 'myna', 'highly', 'gregarious', 'bird', 'found', 'almost']"
81,86,6 Aug 2013 ï¿½ Skip to content. Osang Gwon. Menu. Works ï¿½ Virtual Visit ï¿½ Textstoggle child menu. Essays ï¿½ Interviews ï¿½ Articles ï¿½ Video ï¿½ Publicationsï¿½...,Javan Myna,"['6', 'aug', '2013', 'skip', 'content', 'osang', 'gwon', 'menu', 'works', 'virtual', 'visit', 'textstoggle', 'child', 'menu', 'essays', 'interviews', 'articles', 'video', 'publications']"
82,87,"Black-naped oriole (Oriolus chinensis), captive. Disclaimer: The Animal Diversity Web is an educational resource written largely by and for college students.ADW doesn't cover all species in the world, nor does it include all the latest scientific information about organisms we describe. ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'captive', 'disclaimer', 'animal', 'diversity', 'web', 'educational', 'resource', 'written', 'largely', 'college', 'studentsadw', 'doesnt', 'cover', 'species', 'world', 'include', 'latest', 'scientific', 'information', 'organisms', 'describe']"
83,88,"2 Sept 2020 ï¿½ ... Content since 2010, Evelyn is also curren. ... The Javan mynah is the most common resident bird in Singapore today.",Javan Myna,"['2', 'sept', '2020', 'content', 'since', '2010', 'evelyn', 'also', 'curren', 'javan', 'mynah', 'common', 'resident', 'bird', 'singapore', 'today']"
84,89,"Males are bright yellow overall save for the black wings and inner tail feathers. Note the yellow patch on the wings, the yellow outer tail feathers, the black stripe through the eye that gives it a masked appearance, and the fleshy pink bill. The female is dull greenish-yellow overall with dirty brown/green wings and a completely yellowish tail. Both males and females have red iris. Most ... ",Black-naped Oriole,"['males', 'bright', 'yellow', 'overall', 'save', 'black', 'wings', 'inner', 'tail', 'feathers', 'note', 'yellow', 'patch', 'wings', 'yellow', 'outer', 'tail', 'feathers', 'black', 'stripe', 'eye', 'gives', 'masked', 'appearance', 'fleshy', 'pink', 'bill', 'female', 'dull', 'greenishyellow', 'overall', 'dirty', 'browngreen', 'wings', 'completely', 'yellowish', 'tail', 'males', 'females', 'red', 'iris']"
85,90,"Jul 12, 2023 Â·  Rufous-collared Kingfishers feed upon fish, insects, scorpions, and small snakes. They have a well-developed vision. Their dark brown eyes can see colors distinctly and are even capable of binocular vision. They can move their eyes within the eye sockets rather than having to rotate their entire heads to follow their prey. ",Collared Kingfisher,"['jul', '12', '2023', 'rufouscollared', 'kingfishers', 'feed', 'upon', 'fish', 'insects', 'scorpions', 'small', 'snakes', 'welldeveloped', 'vision', 'dark', 'brown', 'eyes', 'see', 'colors', 'distinctly', 'even', 'capable', 'binocular', 'vision', 'move', 'eyes', 'within', 'eye', 'sockets', 'rather', 'rotate', 'entire', 'heads', 'follow', 'prey']"
86,91,"Shop ""Black-Naped Oriole And Ch ..."" Canvas Wall Art by Katsushika Hokusai in a variety of sizes; framed options available. On Sale Today! Free Shipping & Returns.",Black-naped Oriole,"['shop', 'blacknaped', 'oriole', 'ch', 'canvas', 'wall', 'art', 'katsushika', 'hokusai', 'variety', 'sizes', 'framed', 'options', 'available', 'sale', 'today', 'free', 'shipping', 'returns']"
87,92,"for more videos like this subscribe in this channel.greetings from philippines.how to draw a black naped oriole, kilyawan bird drawing, cÄnggÄ“ng drawing, ste... ",Black-naped Oriole,"['videos', 'like', 'subscribe', 'channelgreetings', 'philippineshow', 'draw', 'black', 'naped', 'oriole', 'kilyawan', 'bird', 'drawing', 'cnggng', 'drawing', 'ste']"
88,93,"The Philippine oriole ( Oriolus steerii ) or grey-throated oriole is a species of bird in the family Oriolidae.It is endemic to the Philippines. Its natural habitat is subtropical or tropical moist lowland forests. The species is fairly common throughout its range, but the Cebu race ( O. s. assimilis ) was last sighted in 1906 and is now ... ",Black-naped Oriole,"['philippine', 'oriole', 'oriolus', 'steerii', 'greythroated', 'oriole', 'species', 'bird', 'family', 'oriolidaeit', 'endemic', 'philippines', 'natural', 'habitat', 'subtropical', 'tropical', 'moist', 'lowland', 'forests', 'species', 'fairly', 'common', 'throughout', 'range', 'cebu', 'race', 'assimilis', 'last', 'sighted', '1906']"
89,95,"Feb 24, 2011 Â·  kingfishers do catch vertebrate preys, especially those larger species of the Halcyon family rather than the smaller Alcedine kingfishers. Especially during breeding season, kingfishers would often catch small birds, but I had not quite heard of the behavior of Collared Kingfisher, but at least the related White-throated that is seen everywhere is commonly recorded to take small birds, such as ... ",Collared Kingfisher,"['feb', '24', '2011', 'kingfishers', 'catch', 'vertebrate', 'preys', 'especially', 'larger', 'species', 'halcyon', 'family', 'rather', 'smaller', 'alcedine', 'kingfishers', 'especially', 'breeding', 'season', 'kingfishers', 'would', 'often', 'catch', 'small', 'birds', 'quite', 'heard', 'behavior', 'collared', 'kingfisher', 'least', 'related', 'whitethroated', 'seen', 'everywhere', 'commonly', 'recorded', 'take', 'small', 'birds']"
90,96,"23 Sept 2020 ï¿½ We also uncovered allelic introgression into the most melanistic subspecies, tertius, from the all-black congeneric Javan Myna (A. javanicus),ï¿½...",Javan Myna,"['23', 'sept', '2020', 'also', 'uncovered', 'allelic', 'introgression', 'melanistic', 'subspecies', 'tertius', 'allblack', 'congeneric', 'javan', 'myna', 'javanicus']"
91,97,"The Javan myna, also known as the white-vented myna, is a species of myna. It is a member of the starling family. It is native to Bali and Java.",Javan Myna,"['javan', 'myna', 'also', 'known', 'whitevented', 'myna', 'species', 'myna', 'member', 'starling', 'family', 'native', 'bali', 'java']"
